TCA, EAV , Rate ,CTY,FOR,TWP,RBT,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN1,SAN2,MSQ,POR,WTR,TIF,TIF,SSA1,SSA2,SSA3,SSA4,SP1,SP2,SP3,SP4,Other
01063, -   , 11.775708 ,CTYLAK,FORLAK,T01BEN,,C03532,E03003,H08126,,,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01064, -   , 11.775708 ,CTYLAK,FORLAK,T01BEN,,C03532,E03003,H08126,,M06BPA,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01065, -   , 11.284097 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,,,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
01066, -   , 11.284097 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
01067, -   , 14.921543 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,F05BPA,L15ZBE,P20WAK,,,,,,,,,,,,B06003,B12126,,,
01068, -   , 11.756989 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E01001,H08126,,M54WHA,,L15ZBE,,S05NSH,,,,,X42TIF,,,,,,B12126,,,,
01069, -   , 15.078598 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,F05BPA,L15ZBE,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
01070," 429,843 ", 12.860330 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01071, -   , 11.284097 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,,P20WAK,S05NSH,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,
01072, -   , 12.691207 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,S05NSH,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,
01073," 999,352 ", 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X07TIF,,,,,,B06003,B12126,,,
01074," 2,113,892 ", 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X06TIF,,,,,,B06003,B12126,,,
01075," 299,795 ", 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X06TIF,,,,,,B06003,B12126,,,
01076, -   , 12.534152 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,,,,,,X06TIF,,,,,,B06003,B12126,,,
01077, -   , 12.691207 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,S05NSH,,,PORWAK,,X06TIF,,,,,,B06003,B12126,,,
01078," 3,425,749 ", 10.860925 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,,,,,B06003,B12126,,,
01079, -   , 10.860925 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,138SSA,,,,B06003,B12126,,,
01080," 3,761,435 ", 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,,,,,B06003,B12126,,,
01081, -   , 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,138SSA,,,,B06003,B12126,,,
01082, -   , 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,140SSA,,,,B06003,B12126,,,
01083, -   , 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,136SSA,,,,B06003,B12126,,,
01084, -   , 11.999983 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E01001,H08126,,M54WHA,F23WHA,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01085," 266,479 ", 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,143SSA,,,,B06003,B12126,,,
01086," 370,028 ", 10.860925 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,133SSA,,,,B06003,B12126,,,
01087, -   , 10.860925 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,133SSA,138SSA,,,B06003,B12126,,,
01088," 130,958 ", 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,134SSA,,,,B06003,B12126,,,
01089," 363,266 ", 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,135SSA,,,,B06003,B12126,,,
01090," 760,782 ", 10.860925 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,135SSA,,,,B06003,B12126,,,
01091," 46,913 ", 10.860925 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,135SSA,,,,B06003,B12126,,,
01092," 1,084 ", 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,135SSA,,,,B06003,B12126,,,
01093, -   , 12.245139 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M54WHA,F23WHA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01094, -   , 14.202335 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,F05BPA,,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01095," 12,026,120 ", 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,,,140SSA,,,,B06003,B12126,,,
01096," 376,412 ", 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X07TIF,,140SSA,,,,B06003,B12126,,,
01097," 184,010 ", 11.017980 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,S05NSH,,,,,X07TIF,,,,,,B06003,B12126,,,
01098, -   , 11.017980 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,S05NSH,,,,,X07TIF,,133SSA,,,,B06003,B12126,,,
01099, -   , 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X07TIF,,135SSA,,,,B06003,B12126,,,
01100, -   , 11.017980 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,S05NSH,,,,,X07TIF,,135SSA,,,,B06003,B12126,,,
01101, -   , 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,,,143SSA,,,,B06003,B12126,,,
01102, -   , 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,
01103, -   , 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X07TIF,,140SSA,,,,B06003,B12126,,,
01104," 336,691 ", 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,,,415SSA,,,,B06003,B12126,,,
01105," 6,596,947 ", 11.756989 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E01001,H08126,,M54WHA,,L15ZBE,,S05NSH,,,,,X64TIF,,,,,,B12126,,,,
01106," 14,008,477 ", 14.038640 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,P20WAK,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,
01107," 69,649,362 ", 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,
01108," 2,724,951 ", 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,X04TIF,,,,,,B06003,B12126,,,
01109," 494,336 ", 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,
01110," 1,165,543 ", 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,X06TIF,,,,,,B06003,B12126,,,
01111, -   , 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,PORWAK,,X06TIF,,,,,,B06003,B12126,,,
01112," 503,400 ", 12.534152 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,,,,PORWAK,,X06TIF,,,,,,B06003,B12126,,,
01113," 3,785,693 ", 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,
01114," 6,570 ", 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
02001," 91,051,767 ", 14.218703 ,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
02002," 182,210 ", 15.402018 ,CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
02003," 199,161,572 ", 16.447404 ,CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B12126,,,,
02004," 29,210 ", 16.290349 ,CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,P23ZIO,,,,,,,,,,,,B12126,,,,
02005, -   , 15.244963 ,CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,,,,,,,,,,,,,B12126,,,,
02006," 4,360,290 ", 14.061648 ,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
02007," 59,743 ", 13.816492 ,CTYLAK,FORLAK,T02ZIO,,C03532,E01001,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B12126,,,,
02008, -   , 14.218703 ,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,(From BP San)
02009, -   , 13.173317 ,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
02010, -   , 13.016262 ,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
02011, -   , 13.173317 ,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
02012, -   , 12.649110 ,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,,,,,,,,,,,,,,B06003,B12126,,,
02013," 21,700 ", 13.694496 ,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
02014, -   , 16.447404 ,CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,X53TIF,,,,,,B12126,,,,
02015, -   , 14.218703 ,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,X54TIF,,,,,,B06003,B12126,,,
02016," 2,358,621 ", 14.218703 ,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,X55TIF,,,,,,B06003,B12126,,,
02017," 377,375 ", 16.447404 ,CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,X55TIF,,,,,,B12126,,,,
02018, -   , 14.218703 ,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,X55TIF,,,,,,B06003,B12126,,,
02019, -   , 12.771106 ,CTYLAK,FORLAK,T02ZIO,,C03532,E01001,H08126,,M55ZIO,,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
02020," 778,915 ", 13.259256 ,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,F23WHA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
02021, -   , 13.403230 ,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,F18NEW,,,,,,,,,,,,,,B06003,B12126,,,
