TCA, EAV , Rate ,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN,MSQ,WTR,TIF,SSA1,SSA2,SSA3,SSA4,
3001,"9,703,002",12.076513,532,3,126,,,NWPRT,,,,,,,,,,,
3002,"7,585,777",12.091818,532,3,126,,WDWTH,NWPRT,,,,,,,,,,,
3003, -   , -   ,532,3,117,,,NWPRT,,,,,,,,,,,
3005,"25,484,132",11.109444,532,24,121,,WDWTH,NWPRT,WNNPT,,,,,,,,,,
3006, -   , -   ,532,3,121,,,NWPRT,WNNPT,,,,,,,,,,
3007,"6,172,408",11.094139,532,24,121,,,NWPRT,WNNPT,,,,,,,,,,
3008,"10,857,900",12.387195,532,3,126,,,NWPRT,WNNPT,,,,,,,,,,
3009,"1,734,807",11.444238,532,24,121,,OMLCK,NWPRT,WNNPT,,,,,,,,,,
3010,"87,955",12.737294,532,3,126,,OMLCK,NWPRT,WNNPT,,,,,,,,,,
3011,"644,584",9.406212,532,56,121,,,NWPRT,WNNPT,,,,,,,,,,
3012,"64,397,369",9.421517,532,56,121,,WDWTH,NWPRT,WNNPT,,,,,,,,,,
3013,"24,215,774",12.4025,532,3,126,,WDWTH,NWPRT,WNNPT,,,,,,,,,,
3014, -   , -   ,532,56,121,,WKGN,,,,,,,,,,,,
3015, -   , -   ,532,34,117,,,NWPRT,,,,,,,,,,,
3016, -   ,12.42358,532,56,121,,WKGN,,,WKGN,,,,,,,,,
3017,"297,290",10.367727,532,56,121,,WDWTH,NWPRT,WNNPT,WKGN,,,,,,,,,
3018, -   , -   ,532,3,126,,BCHPK,NWPRT,,,,,,,,,,,
3019, -   , -   ,532,3,121,,BCHPK,NWPRT,WNNPT,,,,,,,,,,
3020, -   ,9.406212,532,56,121,,BCHPK,NWPRT,WNNPT,,,,,,,,,,
3021, -   , -   ,532,3,121,,WKGN,,,,,,,,,,,,
3022, -   , -   ,532,56,121,,BCHPK,NWPRT,WNNPT,WKGN,,,,,,,,,
3023,"249,459",12.57679,532,56,121,,WKGN,,,WKGN,NOSHR,,,,,,,,
3024, -   , -   ,532,56,121,,WDWTH,NWPRT,WNNPT,,NOSHR,,,,,,,,
3025, -   ,10.520937,532,56,121,,WDWTH,NWPRT,WNNPT,WKGN,NOSHR,,,,,,,,
3026,"9,442,073",10.791724,532,34,117,,,NWPRT,ANTIO,,,,,,,,,,
3027, -   , -   ,532,3,126,,OMLCK,NWPRT,,,,,,,,,,,
