Tax Code, Agg Rate , Agg EAV ,CTY,FOR,TWP,RBT,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN1,SAN2,MSQ,POR,WTR,TIF,TIF,SSA1,SSA2,SSA3,SSA4,SP1,SP2,SP3,SP4,Other,,
01103, 11.459074 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X07TIF,,140SSA,,,,B06003,B12126,,,,,
01104, 11.459074 ," 353,864 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,,,415SSA,,,,B06003,B12126,,,,,
01105, 11.520905 ," 6,475,021 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E01001,H08126,,M54WHA,,L15ZBE,,S05NSH,,,,,X64TIF,,,,,,B12126,,,,,,
01106, 13.582790 ," 14,685,545 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,P20WAK,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,,,
01107, 11.459074 ," 73,486,186 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,,,
01108, 11.459074 ," 2,847,945 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,X04TIF,,,,,,B06003,B12126,,,,,
01109, 11.459074 ," 539,750 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,,,
01110, 11.459074 ," 1,138,666 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,X06TIF,,,,,,B06003,B12126,,,,,
01111, 11.300738 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,PORWAK,,X06TIF,,,,,,B06003,B12126,,,,,
01112, 12.146772 ," 521,818 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,,,,PORWAK,,X06TIF,,,,,,B06003,B12126,,,,,
01113, 11.300738 ," 3,818,419 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,,,
01114, 11.459074 ," 4,510 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
02001, 13.786789 ," 96,755,008 ",CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
02002, 14.774019 ," 195,558 ",CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,,,
02003, 15.775965 ," 214,530,804 ",CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B12126,,,,,,
02004, 15.617629 ," 31,435 ",CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,P23ZIO,,,,,,,,,,,,B12126,,,,,,
02005, 14.615683 , -   ,CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,,,,,,,,,,,,,B12126,,,,,,
02006, 13.628453 ," 4,617,573 ",CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,,,
02007, 13.459521 ," 61,307 ",CTYLAK,FORLAK,T02ZIO,,C03532,E01001,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B12126,,,,,,
