TCA, Agg Ext ,Agg Rate,CTY,FOR,TWP,RBT,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN1,SAN2,MSQ,POR,WTR,TIF,TIF,SSA1,SSA2,SSA3,SSA4,SP1,SP2,SP3,SP4,Other
01101,,10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,,,143SSA,,,,B06003,B12126,,,
01102,"71,368",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,
01103,,10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X07TIF,,140SSA,,,,B06003,B12126,,,
01104,"383,764",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,,,415SSA,,,,B06003,B12126,,,
01105,"6,514,477",10.943906,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E01001,H08126,,M54WHA,,L15ZBE,,S05NSH,,,,,X64TIF,,,,,,B12126,,,,
01106,"15,889,795",12.801251,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,P20WAK,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,
01107,"81,561,303",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,
01108,"2,642,727",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,X04TIF,,,,,,B06003,B12126,,,
01109,"760,377",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,
01110,"1,174,658",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,X06TIF,,,,,,B06003,B12126,,,
01111, -   ,10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,PORWAK,,X06TIF,,,,,,B06003,B12126,,,
01112,"574,471",11.475639,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,,,,PORWAK,,X06TIF,,,,,,B06003,B12126,,,
01113,"3,944,360",10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,
01114,"1,982",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01115,"84,002",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X07TIF,,134SSA,,,,B06003,B12126,,,
02001,"100,244,507",13.047513,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
